company,title,location,regions,salary_min,salary_max
hunarstreet technologies pvt ltd,sales assoicate,"mumbai, maharashtra","india, maharashtra, mumbai",500000.0,800000.0
netcom learning,vice president of digital marketing,"kolkata, west bengal","india, west bengal, kolkata",,
netcom learning,vice president of digital marketing,"pune, maharashtra","india, maharashtra, pune",,
netcom learning,vice president of digital marketing,"bangalore, karnataka","india, karnataka, bangalore",,
stats perform,controller executive,india,india,,
intelex technologies ulc,"sr. manager, software engineering","papum pare, arunachal pradesh","india, arunachal pradesh, papum pare",,
indiamart intermesh limited,technical leadership || service oriented architecture,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
matellio india private limited,sales head - it domain,"jaipur, rajasthan","india, rajasthan, jaipur",1500000.0,3000000.0
firsthive,ux designer - wireframe,"bangalore, karnataka","india, karnataka, bangalore",400000.0,600000.0
unnati,asst mgr/ manager-business development,"bangalore, karnataka","india, karnataka, bangalore",800000.0,1200000.0
vaisansar technologies pvt ltd,sales lead generation specialist,"mumbai, maharashtra","india, maharashtra, mumbai",100000.0,300000.0
mantras2success,talent acquisition expert,"ahmedabad, gujarat","india, gujarat, ahmedabad",,
gsk,data & ai security product owner (delivery lead),india,india,,
flexera software,"senior director, product - finops","bangalore, karnataka","india, karnataka, bangalore",,
citigroup,application development devops manager,"pune, maharashtra","india, maharashtra, pune",,
shri educare limited,college & career counselor - senior executive or assistant manager,"dlf ph, gurgaon","india, haryana, gurgaon, dlf ph",,
harris,sr. manager client technology,"vadodara, gujarat","india, gujarat, vadodara",,
yokogawa,system sales,india,india,,
impact guru,digital marketing manager,"mumbai, maharashtra","india, maharashtra, mumbai",600000.0,1200000.0
unnati,associate-collections/ portfolio monitoring,"bangalore, karnataka","india, karnataka, bangalore",0.0,1000000.0
unnati,manager - growth,"bangalore, karnataka","india, karnataka, bangalore",500000.0,1200000.0
bny mellon,"senior vice president, pom product management",india,india,,
peoplegroup,senior manager - online marketing,"mumbai, maharashtra","india, maharashtra, mumbai",,
apnabusinez.com,business development manager (bdm),"bangalore, karnataka","india, karnataka, bangalore",,
talent leads consultants,"manager/deputy manager- mutual fund brokerage/distributor operations / rta services, mumbai","mumbai, maharashtra","india, maharashtra, mumbai",,
citigroup,cash & trade proc lead analyst - vice president,"mumbai, maharashtra","india, maharashtra, mumbai",,
exl,senior assistant vice president - enterprise application delivery,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
bny mellon,"vice president, production services infrastructure support",india,india,,
exl,4854082-manager,india,india,,
exl,3642375-manager,india,india,,
amazon,"sr. technical program manager, strategic programs, prism, last mile delivery tech","bangalore, karnataka","india, karnataka, bangalore",,
citigroup,institutional credit management - underwriter - vice president,"mumbai, maharashtra","india, maharashtra, mumbai",,
goldman sachs,"global banking & markets, equities l1/ l2 production support, associate/ vice president, mumbai","mumbai, maharashtra","india, maharashtra, mumbai",,
aws india - maharashtra - d03,"principal bd - supplychain & logistics, aws industry business development","mumbai, maharashtra","india, maharashtra, mumbai",,
teradata,"director, product management - analytics platform","hyderabad, telangana","india, telangana, hyderabad",,
amazon pay  private limited,sr. manager - pay on delivery,"bangalore, karnataka","india, karnataka, bangalore",,
zoom,senior data scientist,india,india,,
adci - karnataka - a66,"risk manager iii, res-q - risk mitigation, escalation reduction, and quality assurance",india,india,,
r3 consultant,sox compliance analyst,"pune, maharashtra","india, maharashtra, pune",1500000.0,2000000.0
fico,customer engineering director,"bangalore, karnataka","india, karnataka, bangalore",,
nalanda academy of science and technical education,principal - icbse 26-27,"tadepalle, guntur","india, andhra pradesh, guntur, tadepalle",90000.0,8000000.0
msmex,engineering head,"pune, maharashtra","india, maharashtra, pune",3000000.0,4000000.0
hypersonix,senior technical customer success manager (csm),india,india,,
zeal consultants,java engineering manager - software product development,"bangalore, karnataka","india, karnataka, bangalore",1000000.0,1500000.0
technovert,inside sales executive,"hyderabad, telangana","india, telangana, hyderabad",300000.0,600000.0
acura solution,global payments / implementation specialist / bangalore,"bangalore, karnataka","india, karnataka, bangalore",,
growfin.ai,business development - us,"chennai, tamil nadu","india, tamil nadu, chennai",,
nomura,associate,"mumbai, maharashtra","india, maharashtra, mumbai",,
adci - blr 14 sez,"business intel engineer ii, ww stores ipat - swift","bangalore, karnataka","india, karnataka, bangalore",,
adidas,specialist - general ledger,"chennai, tamil nadu","india, tamil nadu, chennai",,
mspire ventures,we are hiring international sales mnager in ahmedabad,"ahmedabad, gujarat","india, gujarat, ahmedabad",,
recex,vice president - sales & marketing,"rajkot, gujarat","india, gujarat, rajkot",,
mancraft consulting,avp performance marketing,"gurgaon, haryana","india, haryana, gurgaon",,
recex,vice president-finance,"kolkata, west bengal","india, west bengal, kolkata",,
paradise placement consultancy,qms / ea executive,"aurangabad, maharashtra","india, maharashtra, aurangabad",,
r3 consultant,sr. accountant - us gaap,"jaipur, rajasthan","india, rajasthan, jaipur",,
unnati,manager - partnerships,"bangalore, karnataka","india, karnataka, bangalore",0.0,1200000.0
unnati,graphic designer,"bangalore, karnataka","india, karnataka, bangalore",0.0,800000.0
unnati,investment operations management,"bangalore, karnataka","india, karnataka, bangalore",0.0,1500000.0
solulab inc,react.js developer,india,india,0.0,720000.0
systechcorp inc,non_it - hr admin _ non it,"kolkata, west bengal","india, west bengal, kolkata",,
systechcorp inc,non_it - hr admin _ non it,"bangalore, karnataka","india, karnataka, bangalore",,
systechcorp inc,non_it - hr admin _ non it,"kolkata, west bengal","india, west bengal, kolkata",,
systechcorp inc,non_it - hr admin _ non it,"pune, maharashtra","india, maharashtra, pune",,
systechcorp inc,non_it - hr admin _ non it,"bangalore, karnataka","india, karnataka, bangalore",,
systechcorp inc,non_it - hr admin _ non it,"hyderabad, telangana","india, telangana, hyderabad",,
microland,senior director - strategic alliances,"bangalore, karnataka","india, karnataka, bangalore",,
origin,mean stack or angular developer,india,india,,
microland,senior director - strategic alliances,"bangalore, karnataka","india, karnataka, bangalore",,
arque capital,technical architect/cto,"mumbai, maharashtra","india, maharashtra, mumbai",1500000.0,3000000.0
expertiz,manager / sr. manager bd & cs - btl - experiential,"mumbai, maharashtra","india, maharashtra, mumbai",,
propellum infotech,global sales executive,"mumbai, maharashtra","india, maharashtra, mumbai",600000.0,800000.0
credos talent,engineering manager,"bangalore, karnataka","india, karnataka, bangalore",4000000.0,5000000.0
nimesa,business development associate,"bangalore, karnataka","india, karnataka, bangalore",300000.0,500000.0
somewhere,su - chief technology officer (cto),india,india,,
kotak mahindra bank,product manager-sme platform-wbg ho / ipo / cip-sme platform,"mumbai, maharashtra","india, maharashtra, mumbai",,
technovert,sr. business development executive- inside sales,"hyderabad, telangana","india, telangana, hyderabad",400000.0,700000.0
the search house,lead generation executives-email process-international bpo,"bangalore, karnataka","india, karnataka, bangalore",,
sequoiaat india private limited,java engineer,"chennai, tamil nadu","india, tamil nadu, chennai",300000.0,800000.0
nextgen invent corporation,data scientist,india,india,300000.0,2000000.0
adecco,senior technical lead - data platforms (insurance domain),"bangalore, karnataka","india, karnataka, bangalore",,
systechcorp inc,non_it - hr admin _ non it,"pune, maharashtra","india, maharashtra, pune",,
amazon,"senior product manager, row upb supplychain",india,india,,
r3 consultant,data operation specialist,"jaipur, rajasthan","india, rajasthan, jaipur",600000.0,1000000.0
moengage,associate director - finance,india,india,,
amazon development centre  private limited - s55,"executive assistant , retail business services","chennai, tamil nadu","india, tamil nadu, chennai",,
poputrust,software engineer @poputrust - develop peoplesearch software,"delhi, india","india, delhi",,
hinge health,lead data analyst,india,india,,
blackrock,"quantitative researcher (model portfolio solutions), multi-asset solutions (mass), vice president",india,india,,
blackrock,"quantitative researcher (model portfolio solutions), multi-asset solutions (mass), vice president",india,india,,
fortrea,"executive director, enterprise architecture (remote)",india,india,,
mastercard,"vice president, platform architecture","pune, maharashtra","india, maharashtra, pune",,
cai world-wide,director of customer experience,"immedihalli, bangalore","india, karnataka, bangalore, immedihalli",,
unnati,manager operations,"bangalore, karnataka","india, karnataka, bangalore",0.0,1200000.0
unnati,data scientist,"bangalore, karnataka","india, karnataka, bangalore",0.0,1200000.0
unnati,product designer,"bangalore, karnataka","india, karnataka, bangalore",0.0,800000.0
unnati,data analyst - underwriting & risk,"bangalore, karnataka","india, karnataka, bangalore",500000.0,1500000.0
unnati,founders staff,"bangalore, karnataka","india, karnataka, bangalore",1000000.0,2500000.0
dyd,head automobile service,india,india,1000000.0,1500000.0
unnati,backend engineer,"bangalore, karnataka","india, karnataka, bangalore",500000.0,1500000.0
staffchief consultants,software engineer,"ahmedabad, gujarat","india, gujarat, ahmedabad",180000.0,2200000.0
adci - karnataka,"software development engineer, buyer safety experience","bangalore, karnataka","india, karnataka, bangalore",,
digital twin,financial planning & analysis manager,"pune, maharashtra","india, maharashtra, pune",,
digital twin,accounts payable-lead,"pune, maharashtra","india, maharashtra, pune",,
talent pro,senior brand manager,india,india,2400000.0,2800000.0
zycus,director of engineering,"mumbai, maharashtra","india, maharashtra, mumbai",,
modern vr security force,vice president human resources (mumbai) male requre security industry,"mumbai, maharashtra","india, maharashtra, mumbai",1000000.0,1500000.0
merito,sr.devops engineer,"bangalore, karnataka","india, karnataka, bangalore",3000000.0,5000000.0
orios venture partners,senior executive - accounts & finance,"mumbai, maharashtra","india, maharashtra, mumbai",0.0,1000000.0
urbanrise,general manager - sales training,"chennai, tamil nadu","india, tamil nadu, chennai",1500000.0,2000000.0
oasys tech solutions,business development manager,"bangalore, karnataka","india, karnataka, bangalore",,
hunarstreet technologies pvt ltd,product marketing manager (saas),india,india,2000000.0,3500000.0
exl,senior executive-business process & service excellence -quality excellence,"pune, maharashtra","india, maharashtra, pune",,
talent leads consultants,sr manager/ manager- digital technology for amc,"mumbai, maharashtra","india, maharashtra, mumbai",,
staffnixcom,senior enterprise customer success manager (cpaas / b2b saas),"bangalore, karnataka","india, karnataka, bangalore",1500000.0,2100000.0
mspire ventures,we are hiring senior sales manager in ahmedabad,"ahmedabad, gujarat","india, gujarat, ahmedabad",,
instrumentation and control solutions,csv engineer,"panaji, north goa","india, goa, north goa, panaji",,
i2b technologies pvt ltd,functional/solution architect,"hyderabad, telangana","india, telangana, hyderabad",1500000.0,4000000.0
weekday ai,director - client solutions,india,india,,
neogencode technologies pvt ltd,chief technology officer (cto) â blockchain & web3,"bangalore, karnataka","india, karnataka, bangalore",1000000.0,8000000.0
unnati,lead - patron investor program,"bangalore, karnataka","india, karnataka, bangalore",600000.0,2000000.0
wandertrails services pvt ltd,software architect/cto,"bangalore, karnataka","india, karnataka, bangalore",2400000.0,4200000.0
unnati,frontend developer,"bangalore, karnataka","india, karnataka, bangalore",800000.0,1500000.0
unnati,manager â growth,"bangalore, karnataka","india, karnataka, bangalore",600000.0,1500000.0
unnati,associate product manager,"bangalore, karnataka","india, karnataka, bangalore",0.0,1000000.0
unnati,sr test engineer,"bangalore, karnataka","india, karnataka, bangalore",800000.0,1000000.0
threado,senior backend engineer,"bangalore, karnataka","india, karnataka, bangalore",4000000.0,6000000.0
mitsubishi ufj financial group,legal counsel - manager,india,india,,
jones lang lasalle jll,"senior manager, software engineering","bangalore, karnataka","india, karnataka, bangalore",,
stats perform,solution architect,"bangalore, karnataka","india, karnataka, bangalore",,
trimble,field systems finance dx specialist,"navi mumbai, maharashtra","india, maharashtra, navi mumbai",,
deutsche bank,clearing and settlement analyst,"mumbai, maharashtra","india, maharashtra, mumbai",,
johnson controls,general manager- record to report,"pune, maharashtra","india, maharashtra, pune",,
target,sr program manager business transformation,"bangalore, karnataka","india, karnataka, bangalore",,
target,sr program manager business transformation,"bangalore, karnataka","india, karnataka, bangalore",,
target,sr program manager business transformation,"bangalore, karnataka","india, karnataka, bangalore",,
rxlogix corporation,director-it,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
focaloid technologies private limited,inside sales manager,"bangalore, karnataka","india, karnataka, bangalore",1800000.0,2000000.0
oasys tech solutions,business development manager,"mumbai, maharashtra","india, maharashtra, mumbai",,
bullspree,engineering head,"ahmedabad, gujarat","india, gujarat, ahmedabad",1000000.0,4000000.0
iamneo,vice president - software engineering,"coimbatore, tamil nadu","india, tamil nadu, coimbatore",1500000.0,4000000.0
browserstack,sales manager,"mumbai, maharashtra","india, maharashtra, mumbai",,
unnati,senior manager- credit & risk,"bangalore, karnataka","india, karnataka, bangalore",0.0,1200000.0
bebetta,cto,"bangalore, karnataka","india, karnataka, bangalore",500000.0,1500000.0
worldhire,product marketing lead,india,india,,
"verint systems, inc.",senior director of software engineering & site lead,"bangalore, karnataka","india, karnataka, bangalore",,
sigmoid,technical project manager,"bangalore, karnataka","india, karnataka, bangalore",,
adecco,power bi & tableau admin,india,india,,
google,"product finance analyst, google cloud security","bangalore, karnataka","india, karnataka, bangalore",,
techbiz global gmbh,senior program manager,india,india,,
talent junction llp,avp/ general manager business development,india,india,,
aswani industries,dgm-r&d/r&d manager,"surat, gujarat","india, gujarat, surat",,
intel,india smg go-to-market/portfolio lead,"bangalore, karnataka","india, karnataka, bangalore",,
acura solution,investor relations- mumbai,"mumbai, maharashtra","india, maharashtra, mumbai",,
jpmorganchase,vice president - analytics solutions manager,"mumbai, maharashtra","india, maharashtra, mumbai",,
infor,"team lead, sales","bangalore, karnataka","india, karnataka, bangalore",,
talent leads consultants,"it - fms and windows server engineer, hyderabad (telgu)","secunderabad, hyderabad","india, telangana, hyderabad, secunderabad",,
sharp group,pc0672-recruiter,"teynampet south, chennai","india, tamil nadu, chennai, teynampet south",,
pidilite industries,senior manager - talent management,india,india,,
hpy,technical lead - 1,india,india,,
r3 consultant,lead graphic designer,india,india,1000000.0,1200000.0
r3 consultant,senior content writer,"jaipur, rajasthan","india, rajasthan, jaipur",1000000.0,1200000.0
r3 consultant,product manager,"jaipur, rajasthan","india, rajasthan, jaipur",3000000.0,3500000.0
genetic callnet,legal manager,"mumbai, maharashtra","india, maharashtra, mumbai",1000000.0,2500000.0
,software engineer,"chennai, tamil nadu","india, tamil nadu, chennai",,
appian corporation,distinguished engineer,"chennai, tamil nadu","india, tamil nadu, chennai",,
showpad,director gtm strategy,"pune, maharashtra","india, maharashtra, pune",,
compucom,sr. tvm & threat hunting engineer,"pune, maharashtra","india, maharashtra, pune",,
citigroup,vice president - consumer credit risk (rules build and testing),"pune, maharashtra","india, maharashtra, pune",,
jll,transactions management analyst - apac,india,india,,
accelya services india,vice president- software development,"mumbai, maharashtra","india, maharashtra, mumbai",,
neolytix,senior hr recruiter- us healthcare,"palam road, gurgaon","india, haryana, gurgaon, palam road",,
accorcorpo,director – design & technical services,india,india,,
cleo,sales development representative,"bangalore, karnataka","india, karnataka, bangalore",,
mpaani solutions pvt ltd,chief technical officer,"mumbai, maharashtra","india, maharashtra, mumbai",2000000.0,3000000.0
ares operations,"avp, fund accounting (alternative credit)","mumbai, maharashtra","india, maharashtra, mumbai",,
bayrocklabs open requisitions,client partner manager,"bangalore, karnataka","india, karnataka, bangalore",3000000.0,3500000.0
kroll,"senior consultant, transaction advisory services","delhi, india","india, delhi",,
hr jobs consultancy,associate vice president operations,india,india,,
mastercard,business analyst ii,"pune, maharashtra","india, maharashtra, pune",,
mastercard,business analyst ii (hyperion/essbase),"pune, maharashtra","india, maharashtra, pune",,
mastercard,business analyst ii-2,"pune, maharashtra","india, maharashtra, pune",,
the search house,"mall manager-leasing, operations, maintenence","delhi, india","india, delhi",,
merito,sr.devops engineer,"bangalore, karnataka","india, karnataka, bangalore",1500000.0,3500000.0
servicemaster india,inside sales executive,"delhi, india","india, delhi",350000.0,600000.0
impact guru,digital marketing manager/assistant manager,"mumbai, maharashtra","india, maharashtra, mumbai",300000.0,1200000.0
cleo,sales development representative,"bangalore, karnataka","india, karnataka, bangalore",,
citigroup,senior java software engineer vice president,"pune, maharashtra","india, maharashtra, pune",,
hart intercivic,proposals team manager,"roorkee, haridwar","india, uttarakhand, haridwar, roorkee",,
sigmoid,dataops lead,"bangalore, karnataka","india, karnataka, bangalore",,
adci - blr 14 sez - f07,"product manager- return defect eliminaiton , rbs return reduction","bangalore, karnataka","india, karnataka, bangalore",,
adci maa 15 sez,"sr. technical program manager, alexa excellence ai ops","chennai, tamil nadu","india, tamil nadu, chennai",,
exl,senior manager,"chennai, tamil nadu","india, tamil nadu, chennai",,
google,group ai strategy manager,"hyderabad, telangana","india, telangana, hyderabad",,
dentsu,director - data science,india,india,,
neural concept,product quality engineer & test automation,"pune, maharashtra","india, maharashtra, pune",,
ima india,general accountant,"vadodara, gujarat","india, gujarat, vadodara",,
ihg,assistant manager - finance,india,india,,
actide international,data scientist,"vadodara, gujarat","india, gujarat, vadodara",,
adci - blr 14 sez - f07,"business analyst ii, tse product analytics","bangalore, karnataka","india, karnataka, bangalore",,
raft global llp,cloud sales_mumbai,"mumbai, maharashtra","india, maharashtra, mumbai",2000000.0,2600000.0
boolean staffing recruitment solutions pvt ltd,senior manager - secondary logistics cfa,"mumbai, maharashtra","india, maharashtra, mumbai",3500000.0,4500000.0
r3 consultant,events & community marketing manager,"jaipur, rajasthan","india, rajasthan, jaipur",3000000.0,4000000.0
apac,business director,"mumbai, maharashtra","india, maharashtra, mumbai",,
alfa laval spiral,factory manager - dc pune,"dapodi, pune","india, maharashtra, pune, dapodi",,
revantage,accounts receivable manager,"bangalore, karnataka","india, karnataka, bangalore",,
innovapptive,l1 support lead,"kyasaram, hyderabad","india, telangana, hyderabad, kyasaram",,
dodge construction network,devops engineer,"kochi, ernakulam","india, kerala, ernakulam, kochi",,
unnati,full stack engineer,"bangalore, karnataka","india, karnataka, bangalore",750000.0,2000000.0
unnati,marketing lead,"bangalore, karnataka","india, karnataka, bangalore",1000000.0,1500000.0
kuliza,technical lead,india,india,600000.0,2100000.0
unnati,team lead - full stack,"bangalore, karnataka","india, karnataka, bangalore",1000000.0,3000000.0
zinq software labs,business development representative,"hyderabad, telangana","india, telangana, hyderabad",,
asspl - telangana,"sr. mgr. bie, last-mile ops, aop (analytics ops & programs)","hyderabad, telangana","india, telangana, hyderabad",,
shri educare limited,"academic coordinator primary and middle - the shri ram universal school, bengaluru","yelahanka, bangalore","india, karnataka, bangalore, yelahanka",,
sagility,associate director hrbp,india,india,,
hh global,bid manager,india,india,,
payoneer,early retention program manager,india,india,,
payoneer,early retention program manager,"bangalore, karnataka","india, karnataka, bangalore",,
snic solutions,solutions sales executive - india,"vijayanagar, bangalore","india, karnataka, bangalore, vijayanagar",,
loginext,associate vice president - human capital (talent acquisition),"vikhroli, mumbai","india, maharashtra, mumbai, vikhroli",,
myoperator - voicetree technologies,team lead - customer success - b2b saas,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",800000.0,1200000.0
nextech electronics,technical marketing engineer,"bangalore, karnataka","india, karnataka, bangalore",,
unnati,digital marketing manager,"delhi, india","india, delhi",1000000.0,1500000.0
aimhighhr,engineering manager,"hyderabad, telangana","india, telangana, hyderabad",1500000.0,4000000.0
exl,1077752-vice president,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
merito,product manager - insurtech,"mumbai, maharashtra","india, maharashtra, mumbai",1800000.0,3500000.0
loginext,associate vice president - human capital (talent acquisition),"mumbai, maharashtra","india, maharashtra, mumbai",2000000.0,4000000.0
talent junction llp,cloud sales dgm sr manager,india,india,,
amazon,"business intel engineer ii, ww stores ipat - swift","bangalore, karnataka","india, karnataka, bangalore",,
ness digital engineering,sr product and platform architect (l6a - 18 yrs),"bangalore, karnataka","india, karnataka, bangalore",,
growfin.ai,lead software engineer - backend,"chennai, tamil nadu","india, tamil nadu, chennai",,
phoenix mills,manager - projects,"mumbai, maharashtra","india, maharashtra, mumbai",,
growfin.ai,founder's office - strategy & operations,"chennai, tamil nadu","india, tamil nadu, chennai",,
trezix software private limited,sales development representative,"mumbai, maharashtra","india, maharashtra, mumbai",900000.0,1200000.0
pricewaterhousecoopers,manager - risk & reg - sales & trading operations,india,india,,
talent leads consultants,business development manager/ sales for consulting and hr tech services,india,india,,
clarivate,patent search senior analyst,india,india,,
recex,senior buyer/acm – home furnishing,"gurgaon, haryana","india, haryana, gurgaon",,
the citco group,"assistant vice president, fund accounting (real assets)","mumbai, maharashtra","india, maharashtra, mumbai",,
google,"head of strategy and operations, gtech ads ai programs","hyderabad, telangana","india, telangana, hyderabad",,
protonzone consulting,nejobs / marketing manager,india,india,,
glomopay,finops associate – payments operations & reconciliation,india,india,,
talent leads consultants,"chief technology officer (cto), ahmedabad","ahmedabad, gujarat","india, gujarat, ahmedabad",,
r3 consultant,hubspot specialist – marketing operations,"jaipur, rajasthan","india, rajasthan, jaipur",2000000.0,2200000.0
tekion,"director, gtm product management","bangalore, karnataka","india, karnataka, bangalore",,
tata aia life insurance,assistant vice president - enterprise computing,"mumbai, maharashtra","india, maharashtra, mumbai",,
"oaktree capital management, l.p.","assistant vice president, business resilience operations","hyderabad, telangana","india, telangana, hyderabad",,
amazon,"principal bd - supplychain & logistics, aws industry business development",india,india,,
